date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:08	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Sep%202024%2010:45:07%20GMT	http://192.168.1.16/robots.txt		(from )
18:45:10	121864/121864	---MC-	200	added ('OK')	text/html	date:Wed,%2025%20Sep%202024%2010:45:07%20GMT	http://192.168.1.16/lab/	C:/My%20Websites/test/192.168.1.16/lab/index.html	(from )
18:45:10	59016/59016	---M--	200	added ('OK')	text/css	etag:%22e688-61f13b7c42269%22	http://192.168.1.16/lab/wp-includes/css/dashicons.min.css?ver=6.6.1	C:/My%20Websites/test/192.168.1.16/lab/wp-includes/css/dashicons.minb6a4.css	(from http://192.168.1.16/lab/)
18:45:12	20155/20155	---M--	200	added ('OK')	text/css	etag:%224ebb-61f13b7c7e9a2%22	http://192.168.1.16/lab/wp-includes/css/admin-bar.min.css?ver=6.6.1	C:/My%20Websites/test/192.168.1.16/lab/wp-includes/css/admin-bar.minb6a4.css	(from http://192.168.1.16/lab/)
18:45:12	201541/201541	---M--	200	added ('OK')	text/css	etag:%2231345-61f3a690df3dc%22	http://192.168.1.16/lab/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.22.2	C:/My%20Websites/test/192.168.1.16/lab/wp-content/plugins/elementor/assets/css/frontend.minb5c8.css	(from http://192.168.1.16/lab/)
18:45:14	34275/34275	---M--	200	added ('OK')	text/css	etag:%2285e3-61fb278aa278b%22	http://192.168.1.16/lab/wp-content/uploads/elementor/css/post-170.css?ver=1723701249	C:/My%20Websites/test/192.168.1.16/lab/wp-content/uploads/elementor/css/post-170510a.css	(from http://192.168.1.16/lab/)
18:45:14	727/727	---M--	200	added ('OK')	application/rss+xml	etag:%222b6712bc9ef8552cff594f9386c9333c%22	http://192.168.1.16/lab/?feed=comments-rss2	C:/My%20Websites/test/192.168.1.16/lab/indexa6da.html	(from http://192.168.1.16/lab/)
18:45:14	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-61f3a694e96f2%22	http://192.168.1.16/lab/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.22.2	C:/My%20Websites/test/192.168.1.16/lab/wp-content/plugins/elementor/assets/lib/animations/animations.minb5c8.css	(from http://192.168.1.16/lab/)
18:45:15	1648/1648	---M--	200	added ('OK')	text/css	etag:%22670-61f9ef28c947c%22	http://192.168.1.16/lab/wp-content/plugins/buddypress/bp-core/css/admin-bar.min.css?ver=14.0.0	C:/My%20Websites/test/192.168.1.16/lab/wp-content/plugins/buddypress/bp-core/css/admin-bar.minaaa1.css	(from http://192.168.1.16/lab/)
18:45:15	48130/48130	---M--	200	added ('OK')	text/css	etag:%22bc02-61f43b2fc7a38%22	http://192.168.1.16/lab/wp-content/plugins/iks-menu/assets/css/public.css?ver=1.11.3	C:/My%20Websites/test/192.168.1.16/lab/wp-content/plugins/iks-menu/assets/css/publicc1d8.css	(from http://192.168.1.16/lab/)
